Model,Grant Number,Grant Name,Perfect Match
ClaudeSonnet3_5,501,NIGUEL,True
ClaudeSonnet3_5,523,SAN DIEGITO,True
ClaudeSonnet3_5,374,LOMPOC,True
ClaudeSonnet3_7,501,NIGUEL,True
ClaudeSonnet3_7,523,SAN DIEGITO,True
ClaudeSonnet3_7,374,LOMPOC,True
ClaudeSonnet3_7,66,LOS GUILLICOS,True
ClaudeSonnet3_7,366,LOMAS DE LA PURIFICACION,True
ClaudeSonnet3_7,405,ISLAND OF SANTA ROSA,True
ClaudeSonnet3_7,221,BOLSA DE SAN CAYETANO,True
ClaudeSonnet3_7,375,PUNTA DE LA CONCEPCION,True
ClaudeSonnet3_7,8,CAPAY,True
ClaudeSonnet3_7,391,CANADA DE SAN MIGUELITO (CANADA DE SAN MIGUEL Y CANADA DEL DIABLO),True
ClaudeSonnet3_7,327,SAN LUISITO,True
ClaudeSonnet3_7,321,"PIEDRA BLANCA (Rancho de San Simeon de San Luis Potosi, Hearst Rancho)",True
ClaudeSonnet3_7,126,PINOLE,True
ClaudeSonnet3_7,528,LA NACION,True
ClaudeSonnet3_7,257,LAS SALINAS,True
ClaudeSonnet3_7,354,PUNTA DE LA LAGUNA,True
ClaudeSonnet3_7,149,SAN MATEO (Santa Rosa de Chualar),True
ClaudeSonnet3_7,552,SAN JOSE Y SER CHIQUITO,True
ClaudeSonnet3_7,28,ESTERO AMERICANO,True
ClaudeSonnet3_7,467,LOS CERRITOS (Los Nietos Rancho),True
ClaudeSonnet3_7,111,LOS MEDANOS,True
ClaudeSonnet3_7,408,"EL CONEJO (Altagracia, Nuestra Senora de Altagracia)",True
ClaudeSonnet3_7,382,LA GOLETA,True
ClaudeSonnet3_7,50,ROBLAR DE LA MISERIA,True
ClaudeSonnet3_7,546,CANADA DE LOS NOGALES,True
ClaudeSonnet3_7,377,CANADA DE SALISPUEDES,True
ClaudeSonnet3_7,235,PANOCHE DE SAN JUAN Y LOS CARRISALITOS (Fatjo Rancho),True
ClaudeSonnet3_7,32,NICASIO,True
ClaudeSonnet3_7,110,"LOS MEGANOS (Pulpunes, Umpines, Brentwood Rancho, New York Rancho)",True
ClaudeSonnet3_7,272,RINCON DE LA PUENTE DEL MONTE,True
ClaudeSonnet3_7,277,SAUCITO,True
ClaudeSonnet3_7,352,BOLSA DE CHAMISAL,True
ClaudeSonnet3_7,421,HUERTA DE CUATI,True
ClaudeSonnet3_7,20,NEW HELVETIA,True
ClaudeSonnet3_7,462,LA HABRA,True
ClaudeSonnet3_7,288,EL SUR,True
ClaudeSonnet3_7,477,SANTA ANA DEL CHINO,True
ClaudeSonnet3_7,351,NIPOMO,True
ClaudeSonnet3_7,40,CANADA DE HERRERA,True
ClaudeSonnet3_7,497,TRABUCO,True
ClaudeSonnet3_7,133,ARROYO DE LA ALAMEDA,True
ClaudeSonnet3_7,97,SAN JUAN,True
ClaudeSonnet3_7,539,BOCA DE SANTA MONICA (Valle de Santa Monica),True
ClaudeSonnet3_7,145,"POSOLMI (Posolomi, and Pozito de las Animas)",True
ClaudeSonnet4,501,NIGUEL,True
ClaudeSonnet4,523,SAN DIEGITO,True
ClaudeSonnet4,374,LOMPOC,True
ClaudeSonnet4,66,LOS GUILLICOS,True
ClaudeSonnet4,366,LOMAS DE LA PURIFICACION,True
ClaudeSonnet4,405,ISLAND OF SANTA ROSA,True
ClaudeSonnet4,221,BOLSA DE SAN CAYETANO,True
ClaudeSonnet4,375,PUNTA DE LA CONCEPCION,True
ClaudeSonnet4,8,CAPAY,True
ClaudeSonnet4,391,CANADA DE SAN MIGUELITO (CANADA DE SAN MIGUEL Y CANADA DEL DIABLO),True
ClaudeSonnet4,327,SAN LUISITO,True
ClaudeSonnet4,321,"PIEDRA BLANCA (Rancho de San Simeon de San Luis Potosi, Hearst Rancho)",True
ClaudeSonnet4,126,PINOLE,True
ClaudeSonnet4,528,LA NACION,True
ClaudeSonnet4,257,LAS SALINAS,True
ClaudeSonnet4,354,PUNTA DE LA LAGUNA,True
ClaudeSonnet4,149,SAN MATEO (Santa Rosa de Chualar),True
ClaudeSonnet4,552,SAN JOSE Y SER CHIQUITO,True
ClaudeSonnet4,28,ESTERO AMERICANO,True
ClaudeSonnet4,467,LOS CERRITOS (Los Nietos Rancho),True
ClaudeSonnet4,111,LOS MEDANOS,True
ClaudeSonnet4,408,"EL CONEJO (Altagracia, Nuestra Senora de Altagracia)",True
ClaudeSonnet4,382,LA GOLETA,True
ClaudeSonnet4,50,ROBLAR DE LA MISERIA,True
ClaudeSonnet4,546,CANADA DE LOS NOGALES,True
ClaudeSonnet4,377,CANADA DE SALISPUEDES,True
ClaudeSonnet4,235,PANOCHE DE SAN JUAN Y LOS CARRISALITOS (Fatjo Rancho),True
ClaudeSonnet4,32,NICASIO,True
ClaudeSonnet4,110,"LOS MEGANOS (Pulpunes, Umpines, Brentwood Rancho, New York Rancho)",True
ClaudeSonnet4,272,RINCON DE LA PUENTE DEL MONTE,True
ClaudeSonnet4,277,SAUCITO,True
ClaudeSonnet4,352,BOLSA DE CHAMISAL,True
ClaudeSonnet4,421,HUERTA DE CUATI,True
ClaudeSonnet4,20,NEW HELVETIA,True
ClaudeSonnet4,462,LA HABRA,True
ClaudeSonnet4,288,EL SUR,True
ClaudeSonnet4,477,SANTA ANA DEL CHINO,True
ClaudeSonnet4,351,NIPOMO,True
ClaudeSonnet4,40,CANADA DE HERRERA,True
ClaudeSonnet4,497,TRABUCO,True
ClaudeSonnet4,133,ARROYO DE LA ALAMEDA,True
ClaudeSonnet4,97,SAN JUAN,True
ClaudeSonnet4,539,BOCA DE SANTA MONICA (Valle de Santa Monica),True
ClaudeSonnet4,145,"POSOLMI (Posolomi, and Pozito de las Animas)",True
Gemini2_0Flash,501,NIGUEL,True
Gemini2_0Flash,221,BOLSA DE SAN CAYETANO,True
Gemini2_0Flash,257,LAS SALINAS,True
Gemini2_0Flash,552,SAN JOSE Y SER CHIQUITO,True
Gemini2_0Flash,32,NICASIO,True
Gemini2_0Flash,272,RINCON DE LA PUENTE DEL MONTE,True
Gemini2_0Flash,277,SAUCITO,True
Gemini2_0Flash,20,NEW HELVETIA,True
Gemini2_0Flash,462,LA HABRA,True
Gemini2_0Flash,288,EL SUR,True
Gemini2_0Flash,40,CANADA DE HERRERA,True
Gemini2_0Flash,497,TRABUCO,True
Gemini2_0Flash,97,SAN JUAN,True
Gemini2_5Pro,501,NIGUEL,True
Gemini2_5Pro,221,BOLSA DE SAN CAYETANO,True
Gemini2_5Pro,257,LAS SALINAS,True
Gemini2_5Pro,552,SAN JOSE Y SER CHIQUITO,True
Gemini2_5Pro,32,NICASIO,True
Gemini2_5Pro,272,RINCON DE LA PUENTE DEL MONTE,True
Gemini2_5Pro,277,SAUCITO,True
Gemini2_5Pro,20,NEW HELVETIA,True
Gemini2_5Pro,462,LA HABRA,True
Gemini2_5Pro,288,EL SUR,True
Gemini2_5Pro,40,CANADA DE HERRERA,True
Gemini2_5Pro,497,TRABUCO,True
Gemini2_5Pro,97,SAN JUAN,True
GPT4_1,501,NIGUEL,True
GPT4_1,523,SAN DIEGITO,True
GPT4_1,374,LOMPOC,True
GPT4_1,66,LOS GUILLICOS,True
GPT4_1,366,LOMAS DE LA PURIFICACION,True
GPT4_1,405,ISLAND OF SANTA ROSA,True
GPT4_1,221,BOLSA DE SAN CAYETANO,True
GPT4_1,375,PUNTA DE LA CONCEPCION,True
GPT4_1,8,CAPAY,True
GPT4_1,391,CANADA DE SAN MIGUELITO (CANADA DE SAN MIGUEL Y CANADA DEL DIABLO),True
GPT4_1,327,SAN LUISITO,True
GPT4_1,321,"PIEDRA BLANCA (Rancho de San Simeon de San Luis Potosi, Hearst Rancho)",True
GPT4_1,126,PINOLE,True
GPT4_1,528,LA NACION,True
GPT4_1,257,LAS SALINAS,True
GPT4_1,354,PUNTA DE LA LAGUNA,True
GPT4_1,149,SAN MATEO (Santa Rosa de Chualar),True
GPT4_1,552,SAN JOSE Y SER CHIQUITO,True
GPT4_1,28,ESTERO AMERICANO,True
GPT4_1,467,LOS CERRITOS (Los Nietos Rancho),True
GPT4_1,111,LOS MEDANOS,True
GPT4_1,408,"EL CONEJO (Altagracia, Nuestra Senora de Altagracia)",True
GPT4_1,382,LA GOLETA,True
GPT4_1,50,ROBLAR DE LA MISERIA,True
GPT4_1,546,CANADA DE LOS NOGALES,True
GPT4_1,377,CANADA DE SALISPUEDES,True
GPT4_1,235,PANOCHE DE SAN JUAN Y LOS CARRISALITOS (Fatjo Rancho),True
GPT4_1,32,NICASIO,True
GPT4_1,110,"LOS MEGANOS (Pulpunes, Umpines, Brentwood Rancho, New York Rancho)",True
GPT4_1,272,RINCON DE LA PUENTE DEL MONTE,True
GPT4_1,277,SAUCITO,True
GPT4_1,352,BOLSA DE CHAMISAL,True
GPT4_1,421,HUERTA DE CUATI,True
GPT4_1,20,NEW HELVETIA,True
GPT4_1,462,LA HABRA,True
GPT4_1,288,EL SUR,True
GPT4_1,477,SANTA ANA DEL CHINO,True
GPT4_1,351,NIPOMO,True
GPT4_1,40,CANADA DE HERRERA,True
GPT4_1,497,TRABUCO,True
GPT4_1,133,ARROYO DE LA ALAMEDA,True
GPT4_1,97,SAN JUAN,True
GPT4_1,539,BOCA DE SANTA MONICA (Valle de Santa Monica),True
GPT4_1,145,"POSOLMI (Posolomi, and Pozito de las Animas)",True
