Grant Number,Golden Names,Generated Names,Model,Match,Match Percentage
501,"Gov. Alvarado, Juan Avila,  Concepcion Avila, ","Alvar, ##ado, Juan, Conce, ##cion Avila, Juan, Conce, ##cion Avila, Miguel",landGrantHuggingFace,5,56.0
523,"Gov. Victoria, Silva Family, Gov. Gutierrez, Gov. Alvarado, Gov. Pico, Juan Osuna, Juliana L. Osuna","Victoria, Silva, Gutierrez, Alvar, ##ado, Pico, Juan Osun, Juliana L. Osuna",landGrantHuggingFace,7,88.0
374,"Gov. Alvarado, Joaquin Carrillo, Jose Antonio Camilo, J. A. Carrillo","Alvar, ##ado, Joaquin Carrillo, Jose Antonio Camilo, J, J, A, Carrillo",landGrantHuggingFace,7,88.0
66,"Gov. Alvarado, John Wilson ","Alvar, ##ado, John Wilson, Juan Wilson",landGrantHuggingFace,2,50.0
366,"Gov. Micheltorena, Augustine Janssens","Micheltore, A, ##gus, ##tin Janssens, A, ##gus, ##tin Janssens",landGrantHuggingFace,3,43.0
405,"Gov. Micheltorena, Antonio Carrillo, Carlos Carrillo, Manuela Carrillo de Jones ","Micheltore, Antonio, Carlos Carrillo, Manuela Carrillo de Jones",landGrantHuggingFace,4,100.0
221,"Gov. de Sola, Ignacio Vallejo, Dolores Pico, Gov. Arguello, Gov. Figueroa, Jose de Jesus Vallejo","de Sola, Ignacio Vallejo, Dolores Pico, Arguello, Ignacio Vallejo, Figueroa, Jose de Jesus Vallejo, Ignacio, J, de J, Vallejo",landGrantHuggingFace,11,100.0
375,"Gov. Alvarado, Anastacio Carrillo","Alvar, ##ado, Anasta, ##cio Carrillo, A, Carrillo",landGrantHuggingFace,4,67.0
8,"Gov. Micheltorena, Josefa Soto","Micheltore, Josef, ##a Soto, Josefa Soto",landGrantHuggingFace,3,75.0
391,"Gov. Pico, Ramon Rodriguez, Juana Tico de Rodriguez, ","Pi, ##co, Ramon Rodriguez",landGrantHuggingFace,2,67.0
327,"Gov. Alvarado, Guadalupe Cantua","Alvar, ##ado",landGrantHuggingFace,1,50.0
321,"Gov. Alvarado, Jose de Jesus Pico","Alvar, ##ado, Jose de Jesus Pico, Jose de Jesus Pico",landGrantHuggingFace,3,75.0
126,"Gov. Echeandia, Gov. Alvarado, Ygnacio Martinez, Maria Antonio Martinez de Richardson","Echeand, ##ia, Alvar, ##ado, Ygna, ##cio Martinez, Maria Antonio Martinez de Richardson",landGrantHuggingFace,4,57.0
528,"Gov. Pico, Juan Forster","Pi, ##co, Juan Forster, Juan Forster",landGrantHuggingFace,3,75.0
257,"Antonio Aceves, Antonio Romero, Gov. Gutierrez, Gabrial Espinosa, Linda E. Pogue","Antonio Aceves, Antonio Romero, Gutierrez, Gabriel Espinosa, Linda E. Pogue, G, Espinosa",landGrantHuggingFace,6,86.0
354,"Gov. Micheltorena, Luis Arellanes, Emelio Miguel Ortega","Micheltore, Luis Arellanes, Emeli, ##o Miguel Ortega, Luis Arellanes",landGrantHuggingFace,4,80.0
149,"Gov. Pro Tem. Manuel Jimeno Casarin, Juan Malarin","Pi, ##co, C, ##ay, Arena, W, Howard",landGrantHuggingFace,1,14.0
552,"Gov. Alvarado, Marcelino Escobar, Joseph S. Emory, Nathan W. Spaulding, Abner Bassett, Mary Ann Bassett","Alvar, ##ado, Marcel, ##ino Escobar, Joseph S. Emory, Nathan W. Spaulding, A, ##bner Bassett, Mary Ann Bassett",landGrantHuggingFace,6,67.0
28,"Gov. Pro Tern. Manuel Jimeno Casarin, Edward McIntosh, Jasper Farrell","Manuel Jimeno, Casa, Edward McI, ##sh, Jasper",landGrantHuggingFace,4,80.0
467,"Gov. Fages, Don Manuel Nieto, Gov. Figueroa, Juan Temple","Fages, Don, Manuel Nieto, Figueroa, Manuel Nieto, Don, ##a Manuela Nieto, Manuel Nieto, Figueroa, Juan Temple",landGrantHuggingFace,9,90.0
111,"Gov. Alvarado, Jose Antonio Mesa, Jose Miguel Mesa","Alvar, ##ado, Jose Antonio Mesa, Jose Miguel Mesa, J, D, Stevenson",landGrantHuggingFace,4,57.0
408,"Gov. Arrillaga, Ignacio Rodriguez, Gov. Arrillaga, Jose Polanco, Gov. de Sola to Jose de la Guerra y Noriega, Gov. Figueroa, Maria del Carmen Rodriguez","Arrillaga, Ignacio Rodriguez, Arrillaga, Jose Polanco, de Sola, Jose de la Guerra y Noriega, Rodriguez, Figueroa, Maria del Carmen Rodriguez, Alvar, ##ado, Jose de la Guerra y Nor, Jose de la Guerra y Nor",landGrantHuggingFace,11,85.0
382,"Gov. Pico, Daniel Hill","Pi, ##co, Daniel Hill, Daniel Hill",landGrantHuggingFace,3,75.0
50,"Gov. Pico, Juan Nepomuseno Padillo, Daniel Wright","Pi, ##co, Juan Nepom, ##no Padillo, Daniel Wright",landGrantHuggingFace,3,60.0
546,"Gov. Micheltorena, Jose M. Aguilar","Micheltore, Jose M. Aguilar, J, M. Aguilar",landGrantHuggingFace,4,100.0
377,"Gov. Micheltorena, Pedro Cordero, John Keys","Micheltore, Pedro Cordero, John Keyes",landGrantHuggingFace,2,67.0
235,"Gov. Micheltorena, Julian Ursua, Romo","Micheltore, Julian Ursua",landGrantHuggingFace,2,100.0
32,"Gov. Micheltorena, Pablo de la Guerra, Juan Cooper, H. W. Halleck, Wm. Reynolds, Daniel Frink, B. R. Buckelow\","Micheltore, Pablo de la Guerra, Juan Cooper, H, W, Halle, W, Reynolds, Daniel Frink, James Black, B, R, Buckelo",landGrantHuggingFace,12,92.0
110,"Gov. Castro, Jose Noriega, John Marsh","Castro, Jose Noriega, Nor, John Marsh, Alice Marsh, John Marsh",landGrantHuggingFace,5,83.0
272,"Gov. Gutierrez, Gov. Figueroa, Teodoro Gonzales","Gutierrez, Figue, ##roa, Teod, ##oro Gonzales, Teodoro Gonzales",landGrantHuggingFace,4,67.0
277,"Gov. Figueroa, Graciano Manjares, Josiah Swain, John Wilson, George C. Harris","Figueroa, Grac, ##iano Manjares, John Wilson, Josiah Swain, George C. Harris",landGrantHuggingFace,5,83.0
352,"Gov. Alvarado, Francisco Quijada, Lewis T. Burton","Alvarado, Francisco Qui, Lewis T, Burton",landGrantHuggingFace,4,100.0
421,"Victoria Reid, Gov. Alvarado","Victoria Reid, Alvarado, Victoria Reid",landGrantHuggingFace,3,100.0
20,"Gov. Alvarado, John A. Sutter","Alvarado, John A. Sutter, John A. Sutter",landGrantHuggingFace,3,100.0
462,"Gov. Pro Tem. Manuel Jimeno Casarin, Don Mariano Rolden, Andreas Pico","Manuel Jimeno, Casa, Don Mariano Rolden, Andreas Pico",landGrantHuggingFace,4,100.0
288,"Gov. Figueroa, Juan B. Alvarado, J. B. R. Cooper","Figue, Juan B. Alvarado, J, B, R. Cooper",landGrantHuggingFace,5,100.0
477,"Gov. Alvarado, Antonio M. Lugo, Maria Merced Williams, Francisca Williams","Alvar, ##ado, Antonio M. Lu, Maria Merced Williams, Francisca Williams, Isaac Williams",landGrantHuggingFace,4,67.0
351,"Gov. Alvarado, William G. Dana","Alvarado, William G. Dana, William G. Dana",landGrantHuggingFace,3,100.0
40,"Gov. Pro Tern. Manuel Jimeno Casarin, Domingo Sais","Manuel Jimeno, Casa, Domingo Sais, Domingo Sais",landGrantHuggingFace,4,100.0
497,"Gov. Pico, J. Forster, Santiago Arguello","Pie, ##o, J, Forster, Santiago Arguel, Juan Forster",landGrantHuggingFace,3,50.0
133,"Gov. Alvarado, Jose de Jesus Vallejo","Alvar, ##ado, Jose de Jesus Vallejo, J, . de J. Vallejo",landGrantHuggingFace,3,60.0
97,"Gov. Micheltorena, Joel P. Dedmond, Hiram Grimes","Micheltore, Joel P. Dedmond, Hi, ##ram Grimes",landGrantHuggingFace,3,75.0
539,"Gov. Echeandia, Xavier Alvarado, Antonio Machado, Gov. Pro Tem. Manuel Jimeno Casarin, Francisco Marques, Ysidro Reyes","E, ##and, Xavier Alvarado, Antonio Machado, Manuel Jimeno, Casa, Alvarado, Francisco Marques, Y, Reyes, Reyes",landGrantHuggingFace,10,91.0
145,"Gov. Micheltorena, Lopez Inigo, Robert Walkinshaw, Thomas Campbell","Micheltore, Robert Walkinshaw, Thomas Campbell",landGrantHuggingFace,3,100.0
501,"Gov. Alvarado, Juan Avila,  Concepcion Avila, ","Alvarado, Juan, Concepcion Avila, Juan, Concepcion Avila, Miguel, Los Alisos",landGrantStanza,5,71.0
523,"Gov. Victoria, Silva Family, Gov. Gutierrez, Gov. Alvarado, Gov. Pico, Juan Osuna, Juliana L. Osuna","Victoria, Silva, Gutierrez, Alvarado, Pico, Juan Osuna, Juliana L. Osuna",landGrantStanza,7,100.0
374,"Gov. Alvarado, Joaquin Carrillo, Jose Antonio Camilo, J. A. Carrillo","Alvarado, Joaquin Carrillo, Jose Antonio Camilo",landGrantStanza,3,100.0
66,"Gov. Alvarado, John Wilson ","Alvarado, John Wilson, Juan Wilson",landGrantStanza,2,67.0
366,"Gov. Micheltorena, Augustine Janssens","Micheltorena, Agustin Janssens, Agustin Janssens",landGrantStanza,1,33.0
405,"Gov. Micheltorena, Antonio Carrillo, Carlos Carrillo, Manuela Carrillo de Jones ","Micheltorena, Antonio, Carlos Carrillo, Manuela Carrillo de Jones el al.",landGrantStanza,3,75.0
221,"Gov. de Sola, Ignacio Vallejo, Dolores Pico, Gov. Arguello, Gov. Figueroa, Jose de Jesus Vallejo","de Sola, Ignacio Vallejo, Dolores Pico, Arguello, Ignacio Vallejo, Figueroa, Jose de Jesus Vallejo, Ignacio",landGrantStanza,8,100.0
375,"Gov. Alvarado, Anastacio Carrillo","Alvarado, Anastacio Carrillo",landGrantStanza,2,100.0
8,"Gov. Micheltorena, Josefa Soto","Micheltorena, Josefa Soto, Josefa Soto",landGrantStanza,3,100.0
391,"Gov. Pico, Ramon Rodriguez, Juana Tico de Rodriguez, ","Pico, Ramon Rodriguez, Juana Tico de Rodriguez",landGrantStanza,3,100.0
327,"Gov. Alvarado, Guadalupe Cantua","Alvarado, Guadalupe\n  Cantua",landGrantStanza,1,50.0
321,"Gov. Alvarado, Jose de Jesus Pico","Alvarado, Jose de Jesus\n   Pico, Jose de\n   Jesus Pico",landGrantStanza,1,33.0
126,"Gov. Echeandia, Gov. Alvarado, Ygnacio Martinez, Maria Antonio Martinez de Richardson","Echeandia, Alvarado, Ygnacio Martinez, Maria Antonio Martinez de\n  Richardson el al",landGrantStanza,3,75.0
528,"Gov. Pico, Juan Forster","Pico, Juan Forster, Juan Forster",landGrantStanza,3,100.0
257,"Antonio Aceves, Antonio Romero, Gov. Gutierrez, Gabrial Espinosa, Linda E. Pogue","Antonio Aceves, Antonio Romero, Gutierrez, Gabriel Espinosa, Linda E. Pogue, G. Espinosa",landGrantStanza,4,67.0
354,"Gov. Micheltorena, Luis Arellanes, Emelio Miguel Ortega","Micheltorena, Luis Arellanes, Emelio Miguel\n  Ortega, Luis\n  Arellanes",landGrantStanza,2,50.0
149,"Gov. Pro Tem. Manuel Jimeno Casarin, Juan Malarin","Pico, Cayetano Arenas, Howard",landGrantStanza,0,0.0
552,"Gov. Alvarado, Marcelino Escobar, Joseph S. Emory, Nathan W. Spaulding, Abner Bassett, Mary Ann Bassett","Alvarado, Marcelino Escobar, Joseph S. Emory, Nathan W. Spaulding, Mary Ann Bassett",landGrantStanza,5,100.0
28,"Gov. Pro Tern. Manuel Jimeno Casarin, Edward McIntosh, Jasper Farrell","Pro Tern., Manuel Jimeno, Casarin, Edward McIntosh",landGrantStanza,4,100.0
467,"Gov. Fages, Don Manuel Nieto, Gov. Figueroa, Juan Temple","Fages, Don\n  Manuel Nieto, Figueroa, Manuel Nieto, Dona\n  Manuela Nieto, Manuel Nieto, Figueroa",landGrantStanza,5,71.0
111,"Gov. Alvarado, Jose Antonio Mesa, Jose Miguel Mesa","Alvarado, Jose Antonio\n  Mesa, Jose Miguel Mesa, J. D. Stevenson",landGrantStanza,2,50.0
408,"Gov. Arrillaga, Ignacio Rodriguez, Gov. Arrillaga, Jose Polanco, Gov. de Sola to Jose de la Guerra y Noriega, Gov. Figueroa, Maria del Carmen Rodriguez","Arrillaga, Ignacio\n  Rodriguez, Arrillaga, Jose Polanco, Polanco, de Sola, Jose\n  de la Guerra y Noriega, Rodriguez, Figueroa, Maria del Carmen Rodriguez, Alvarado, Jose de la Guerra y Noriega, Jose de la Guerra y\n  Noriega",landGrantStanza,9,69.0
382,"Gov. Pico, Daniel Hill","Pico, Daniel Hill",landGrantStanza,2,100.0
50,"Gov. Pico, Juan Nepomuseno Padillo, Daniel Wright","Pico, Juan\n  Nepomuseno Padillo, Daniel Wright",landGrantStanza,2,67.0
546,"Gov. Micheltorena, Jose M. Aguilar","Micheltorena, Jose M. Aguilar, J. M. Aguilar",landGrantStanza,2,67.0
377,"Gov. Micheltorena, Pedro Cordero, John Keys","Micheltorena, Pedro Cordero, John Keyes",landGrantStanza,2,67.0
235,"Gov. Micheltorena, Julian Ursua, Romo","Micheltorena, Julian Ursua, Romo, Fatjo Rancho",landGrantStanza,3,75.0
32,"Gov. Micheltorena, Pablo de la Guerra, Juan Cooper, H. W. Halleck, Wm. Reynolds, Daniel Frink, B. R. Buckelow\","Micheltorena, Pablo de la Guerra, Juan Cooper, H. W. Halleck, Wm. Reynolds, Daniel Frink., James\n   Black",landGrantStanza,5,71.0
110,"Gov. Castro, Jose Noriega, John Marsh","Castro, Jose Noriega, Noriega, John Marsh, Alice Marsh, John Marsh",landGrantStanza,5,83.0
272,"Gov. Gutierrez, Gov. Figueroa, Teodoro Gonzales","Gutierrez, Figueroa, Teodoro Gonzales, Teodoro Gonzales",landGrantStanza,4,100.0
277,"Gov. Figueroa, Graciano Manjares, Josiah Swain, John Wilson, George C. Harris","Figueroa, Graciano Manjares, John Wilson, Josiah Swain, George C. Harris",landGrantStanza,5,100.0
352,"Gov. Alvarado, Francisco Quijada, Lewis T. Burton","Alvarado, Francisco Quijada, Lewis T. Burton",landGrantStanza,3,100.0
421,"Victoria Reid, Gov. Alvarado","Victoria Reid, Alvarado, Victoria Reid",landGrantStanza,3,100.0
20,"Gov. Alvarado, John A. Sutter","Alvarado, John A. Sutter, John A. Sutter, SutterÕs Grant",landGrantStanza,3,75.0
462,"Gov. Pro Tem. Manuel Jimeno Casarin, Don Mariano Rolden, Andreas Pico","Pro Tem., Manuel\n  Jimeno, Casarin, Don Mariano Rolden",landGrantStanza,3,75.0
288,"Gov. Figueroa, Juan B. Alvarado, J. B. R. Cooper","Figueroa, Juan B. Alvarado, J. B. R. Cooper",landGrantStanza,3,100.0
477,"Gov. Alvarado, Antonio M. Lugo, Maria Merced Williams, Francisca Williams","Alvarado, Maria Merced Williams, Francisca Williams, Isaac Williams",landGrantStanza,3,75.0
351,"Gov. Alvarado, William G. Dana","Alvarado, William G. Dana, William G. Dana",landGrantStanza,3,100.0
40,"Gov. Pro Tern. Manuel Jimeno Casarin, Domingo Sais","Manuel Jimeno, Casarin, Domingo Sais, Domingo Sais",landGrantStanza,4,100.0
497,"Gov. Pico, J. Forster, Santiago Arguello","Pieo, J. Forster, Santiago Arguello, Juan Forster",landGrantStanza,2,50.0
133,"Gov. Alvarado, Jose de Jesus Vallejo","Alvarado, Jose\n   de Jesus Vallejo",landGrantStanza,1,50.0
97,"Gov. Micheltorena, Joel P. Dedmond, Hiram Grimes","Micheltorena, Joel P. Dedmond, Hiram\n   Grimes",landGrantStanza,2,67.0
539,"Gov. Echeandia, Xavier Alvarado, Antonio Machado, Gov. Pro Tem. Manuel Jimeno Casarin, Francisco Marques, Ysidro Reyes","Echeandia, Xavier Alvarado, Antonio Machado, Pro Tem., Manuel Jimeno, Casarin, Alvarado, Francisco Marques, Ysidro Reyes",landGrantStanza,9,100.0
145,"Gov. Micheltorena, Lopez Inigo, Robert Walkinshaw, Thomas Campbell","Micheltorena, Lopez Inigo, Robert\n   Walkinshaw, Thomas Campbell, Lopez Inigo, Posolomi",landGrantStanza,4,67.0
501,"Gov. Alvarado, Juan Avila,  Concepcion Avila, ","leagues, Alvarado, Juan, Concepcion Avila, Juan, Concepcion Avila, Miguel",landGrantSpacy,5,71.0
523,"Gov. Victoria, Silva Family, Gov. Gutierrez, Gov. Alvarado, Gov. Pico, Juan Osuna, Juliana L. Osuna","Victoria, Silva, Gutierrez, Alvarado, Pico, Juan Osuna, Juliana L. Osuna et al",landGrantSpacy,6,86.0
374,"Gov. Alvarado, Joaquin Carrillo, Jose Antonio Camilo, J. A. Carrillo","Alvarado, Joaquin Carrillo, Jose Antonio Camilo, J. A. Carrillo",landGrantSpacy,4,100.0
66,"Gov. Alvarado, John Wilson ","Alvarado, John Wilson, Juan Wilson",landGrantSpacy,2,67.0
366,"Gov. Micheltorena, Augustine Janssens","leagues, Agustin Janssens, Agustin Janssens",landGrantSpacy,0,0.0
405,"Gov. Micheltorena, Antonio Carrillo, Carlos Carrillo, Manuela Carrillo de Jones ","Micheltorena, Antonio, Carlos Carrillo, Manuela Carrillo de Jones",landGrantSpacy,4,100.0
221,"Gov. de Sola, Ignacio Vallejo, Dolores Pico, Gov. Arguello, Gov. Figueroa, Jose de Jesus Vallejo","leagues, de Sola, Ignacio Vallejo, Dolores Pico, Regrant, Arguello, Ignacio Vallejo, Jose de Jesus Vallejo, Ignacio, J. de J. Vallejo",landGrantSpacy,7,70.0
375,"Gov. Alvarado, Anastacio Carrillo","leagues, Alvarado, Anastacio Carrillo",landGrantSpacy,2,67.0
8,"Gov. Micheltorena, Josefa Soto","Glenn, Tehama, Micheltorena, Josefa Soto, Josefa Soto",landGrantSpacy,3,60.0
391,"Gov. Pico, Ramon Rodriguez, Juana Tico de Rodriguez, ","leagues, Pico, Juana Tico de Rodriguez",landGrantSpacy,2,67.0
327,"Gov. Alvarado, Guadalupe Cantua",Alvarado,landGrantSpacy,1,100.0
321,"Gov. Alvarado, Jose de Jesus Pico","Alvarado, Jose de Jesus, Pico, Jose de
   , Jesus Pico",landGrantSpacy,5,100.0
126,"Gov. Echeandia, Gov. Alvarado, Ygnacio Martinez, Maria Antonio Martinez de Richardson","Echeandia, Alvarado, Ygnacio Martinez, Maria Antonio Martinez de
  , Richardson el al",landGrantSpacy,4,80.0
528,"Gov. Pico, Juan Forster","Pico, Juan Forster, Juan Forster",landGrantSpacy,3,100.0
257,"Antonio Aceves, Antonio Romero, Gov. Gutierrez, Gabrial Espinosa, Linda E. Pogue","Antonio Aceves, Antonio Romero, Gutierrez, Gabriel Espinosa, Linda E. Pogue, G. Espinosa",landGrantSpacy,4,67.0
354,"Gov. Micheltorena, Luis Arellanes, Emelio Miguel Ortega","Obispo, leagues, Micheltorena, Luis Arellanes, Miguel
  Ortega, Luis
  Arellanes",landGrantSpacy,2,33.0
149,"Gov. Pro Tem. Manuel Jimeno Casarin, Juan Malarin","Pico, Howard",landGrantSpacy,0,0.0
552,"Gov. Alvarado, Marcelino Escobar, Joseph S. Emory, Nathan W. Spaulding, Abner Bassett, Mary Ann Bassett","leagues, Alvarado, Joseph S. Emory, Nathan W. Spaulding, Bassett, Mary Ann Bassett",landGrantSpacy,5,83.0
28,"Gov. Pro Tern. Manuel Jimeno Casarin, Edward McIntosh, Jasper Farrell","Pro Tern, Manuel Jimeno, Edward McIntosh",landGrantSpacy,3,100.0
467,"Gov. Fages, Don Manuel Nieto, Gov. Figueroa, Juan Temple","Fages, Don
  , Manuel Nieto, Figueroa, Manuel Nieto, Manuel Nieto, Figueroa, Juan Temple",landGrantSpacy,8,100.0
111,"Gov. Alvarado, Jose Antonio Mesa, Jose Miguel Mesa","Alvarado, Jose Antonio, Jose Miguel Mesa, J. D. Stevenson",landGrantSpacy,3,75.0
408,"Gov. Arrillaga, Ignacio Rodriguez, Gov. Arrillaga, Jose Polanco, Gov. de Sola to Jose de la Guerra y Noriega, Gov. Figueroa, Maria del Carmen Rodriguez","Arrillaga, Arrillaga, Jose Polanco, leagues, de Sola, Jose
  de la Guerra, Noriega, Figueroa, Maria del Carmen Rodriguez, Regrant, Alvarado, Jose de la Guerra, Noriega, Jose de la Guerra, Noriega, Altagracia, Nuestra Senora de Altagracia",landGrantSpacy,11,65.0
382,"Gov. Pico, Daniel Hill","Pico, Daniel Hill, Daniel Hill",landGrantSpacy,3,100.0
50,"Gov. Pico, Juan Nepomuseno Padillo, Daniel Wright","leagues, Pico, Juan
  Nepomuseno Padillo, Daniel Wright, al.",landGrantSpacy,2,40.0
546,"Gov. Micheltorena, Jose M. Aguilar","Micheltorena, Jose M. Aguilar, J. M. Aguilar",landGrantSpacy,2,67.0
377,"Gov. Micheltorena, Pedro Cordero, John Keys","leagues, John Keyes",landGrantSpacy,0,0.0
235,"Gov. Micheltorena, Julian Ursua, Romo","leagues, Micheltorena, Romo",landGrantSpacy,2,67.0
32,"Gov. Micheltorena, Pablo de la Guerra, Juan Cooper, H. W. Halleck, Wm. Reynolds, Daniel Frink, B. R. Buckelow\","leagues, Micheltorena, Juan Cooper, H. W. Halleck, Daniel Frink, B. R. Buckelow",landGrantSpacy,5,83.0
110,"Gov. Castro, Jose Noriega, John Marsh","Castro, Jose Noriega, Noriega, John Marsh, Alice Marsh, John Marsh",landGrantSpacy,5,83.0
272,"Gov. Gutierrez, Gov. Figueroa, Teodoro Gonzales","leagues, Gutierrez, Figueroa",landGrantSpacy,2,67.0
277,"Gov. Figueroa, Graciano Manjares, Josiah Swain, John Wilson, George C. Harris","Figueroa, John Wilson, Josiah Swain, George C. Harris",landGrantSpacy,4,100.0
352,"Gov. Alvarado, Francisco Quijada, Lewis T. Burton","leagues, Alvarado, Francisco Quijada, Lewis T. Burton",landGrantSpacy,3,75.0
421,"Victoria Reid, Gov. Alvarado","Victoria Reid, Victoria Reid",landGrantSpacy,2,100.0
20,"Gov. Alvarado, John A. Sutter","Yuba, Sutter, leagues, Alvarado, John A. Sutter, John A. Sutter, SutterÕs Grant",landGrantSpacy,4,57.0
462,"Gov. Pro Tem. Manuel Jimeno Casarin, Don Mariano Rolden, Andreas Pico","leagues, Pro Tem, Manuel
  Jimeno, Don Mariano Rolden",landGrantSpacy,2,50.0
288,"Gov. Figueroa, Juan B. Alvarado, J. B. R. Cooper","leagues, Figueroa, Juan B. Alvarado, J. B. R. Cooper",landGrantSpacy,3,75.0
477,"Gov. Alvarado, Antonio M. Lugo, Maria Merced Williams, Francisca Williams","leagues, Alvarado, Antonio M. Lugo, Maria Merced Williams, Francisca Williams, Isaac Williams",landGrantSpacy,4,67.0
351,"Gov. Alvarado, William G. Dana","leagues, Alvarado, William G. Dana, William G. Dana",landGrantSpacy,3,75.0
40,"Gov. Pro Tern. Manuel Jimeno Casarin, Domingo Sais","Pro Tern, Manuel Jimeno, Domingo Sais, La Providencia",landGrantSpacy,3,75.0
497,"Gov. Pico, J. Forster, Santiago Arguello","leagues, Pieo, J. Forster, Santiago Arguello, Juan Forster",landGrantSpacy,2,40.0
133,"Gov. Alvarado, Jose de Jesus Vallejo","leagues, Alvarado, Jose
   de Jesus Vallejo, J. de J. Vallejo",landGrantSpacy,1,25.0
97,"Gov. Micheltorena, Joel P. Dedmond, Hiram Grimes","Micheltorena, Joel P. Dedmond",landGrantSpacy,2,100.0
539,"Gov. Echeandia, Xavier Alvarado, Antonio Machado, Gov. Pro Tem. Manuel Jimeno Casarin, Francisco Marques, Ysidro Reyes","leagues, Antonio Machado, Pro Tem, Manuel Jimeno, Alvarado, Francisco Marques, Valle de Santa Monica",landGrantSpacy,5,71.0
145,"Gov. Micheltorena, Lopez Inigo, Robert Walkinshaw, Thomas Campbell","Micheltorena, Lopez Inigo, Robert
   Walkinshaw, Thomas Campbell, Lopez Inigo, Posolomi",landGrantSpacy,4,67.0
